iter	Passed	Remaining
428	1763	2347
429	1769	2345
430	1777	2346
431	1783	2344
432	1787	2340
433	1790	2335
434	1794	2330
435	1797	2325
436	1801	2321
437	1805	2316
438	1808	2311
439	1812	2307
440	1816	2303
441	1820	2298
442	1824	2293
443	1828	2289
444	1831	2284
445	1835	2280
446	1839	2275
447	1842	2270
448	1847	2266
449	1850	2261
450	1854	2257
451	1858	2253
452	1863	2249
453	1867	2246
454	1871	2241
455	1875	2237
456	1879	2233
457	1883	2229
458	1887	2224
459	1890	2219
460	1894	2215
461	1898	2210
462	1902	2206
463	1906	2202
464	1910	2197
465	1914	2193
466	1918	2189
467	1923	2186
468	1927	2181
469	1930	2177
470	1934	2173
471	1938	2168
472	1942	2163
473	1945	2159
474	1950	2155
475	1954	2151
476	1957	2146
477	1961	2142
478	1967	2139
479	1970	2135
480	1974	2130
481	1978	2126
482	1982	2122
483	1986	2118
484	1990	2113
485	1994	2109
486	1998	2105
487	2002	2101
488	2006	2096
489	2010	2092
490	2015	2089
491	2018	2084
492	2023	2080
493	2028	2077
494	2031	2072
495	2035	2068
496	2039	2063
497	2042	2059
498	2048	2056
499	2052	2052
500	2056	2048
501	2061	2044
502	2064	2040
503	2068	2035
504	2072	2031
505	2075	2026
506	2079	2022
507	2087	2021
508	2091	2017
509	2096	2013
510	2099	2009
511	2104	2006
512	2108	2001
513	2112	1997
514	2116	1993
515	2120	1989
516	2124	1984
517	2127	1979
518	2131	1975
519	2135	1971
520	2138	1966
521	2142	1962
522	2147	1958
523	2151	1954
524	2155	1950
525	2159	1946
526	2163	1941
527	2167	1937
528	2170	1932
529	2175	1929
530	2178	1924
531	2182	1920
532	2186	1915
533	2190	1911
534	2195	1908
535	2199	1903
536	2203	1899
537	2206	1894
538	2210	1890
539	2214	1886
540	2217	1881
541	2221	1877
542	2226	1873
543	2230	1869
544	2234	1865
545	2238	1861
546	2243	1857
547	2246	1853
548	2250	1848
549	2254	1844
550	2258	1840
551	2262	1835
552	2265	1831
553	2269	1827
554	2274	1823
555	2280	1820
556	2285	1817
557	2290	1814
558	2299	1814
559	2304	1810
560	2308	1806
561	2313	1803
562	2317	1799
563	2322	1795
564	2326	1791
565	2332	1788
566	2336	1784
567	2340	1780
568	2344	1775
569	2348	1771
570	2352	1767
571	2356	1763
572	2360	1759
573	2364	1754
574	2368	1750
575	2372	1746
576	2377	1742
577	2381	1738
578	2384	1733
579	2389	1730
580	2393	1725
581	2396	1721
582	2400	1716
583	2403	1712
584	2407	1708
585	2411	1703
586	2414	1699
587	2418	1694
588	2423	1691
589	2427	1687
590	2431	1682
591	2434	1678
592	2439	1674
593	2442	1669
594	2446	1665
595	2451	1661
596	2454	1657
597	2458	1652
598	2462	1648
599	2466	1644
600	2471	1640
601	2474	1635
602	2478	1631
603	2481	1627
604	2485	1623
605	2490	1619
606	2493	1614
607	2497	1610
608	2502	1606
609	2506	1602
610	2511	1598
611	2515	1594
612	2519	1590
613	2523	1586
614	2528	1582
615	2532	1578
616	2537	1575
617	2541	1571
618	2545	1566
619	2549	1562
620	2554	1559
621	2559	1555
622	2563	1551
623	2567	1546
624	2571	1542
625	2574	1538
626	2578	1534
627	2582	1529
628	2586	1525
629	2589	1520
630	2593	1516
631	2596	1512
632	2601	1508
633	2606	1504
634	2610	1500
635	2613	1495
636	2617	1491
637	2621	1487
638	2626	1483
639	2629	1479
640	2633	1475
641	2638	1471
642	2641	1466
643	2646	1462
644	2650	1459
645	2656	1455
646	2659	1451
